tconst,title,year,genres,rating,votes,directorID,topActors
tt8809652,10 Minutes Gone,2019.0,"Action,Crime,Mystery",3.7,4605,nm2357819,"['nm0004821', 'nm0000246', 'nm0816508']"
tt8809750,Last Letter,2020.0,Romance,6.9,1398,nm0412517,"['nm0030417', 'nm0298048', 'nm5620173']"
tt8811382,Meeting Gorbachev,2018.0,"Biography,Documentary,History",7.2,2867,"nm0001348,nm0801885",
tt8814500,Cryo,2022.0,"Mystery,Sci-Fi,Thriller",4.1,3052,nm5163400,"['nm1903561', 'nm1903561', 'nm4937591']"
tt8816194,Come to Daddy,2019.0,"Comedy,Mystery,Thriller",6.0,21534,nm0863807,"['nm0000704', 'nm0565569', 'nm0933435']"
tt8818842,Rialto,2019.0,Drama,6.2,1021,nm1880984,"['nm2534167', 'nm6077951', 'nm0230826']"
tt8819596,Screwball,2018.0,"Documentary,History",7.2,1853,nm0169253,"['nm10146852', 'nm10133202', 'nm10168469']"
tt8820590,T-34,2018.0,"Action,War",6.8,15710,nm1284414,"['nm5003252', 'nm7590244', 'nm1595810']"
tt8822402,Remember Us,2018.0,Drama,7.3,3019,nm1463981,"['nm0259472', 'nm3253475', 'nm1735332']"
tt8825268,Facia Üçlü,2018.0,Comedy,1.9,1232,nm9607013,"['nm6792703', 'nm12508144', 'nm12546289']"
tt8829128,Torpedo,2019.0,"Action,Adventure,History",5.9,3140,nm0404748,"['nm0100460', 'nm0726167', 'nm3616170']"
tt8829830,Fatale,2020.0,"Drama,Mystery,Romance",5.5,15402,nm1938064,"['nm0005476', 'nm1013003', 'nm1591496']"
tt8836988,Avengement,2019.0,"Action,Crime",6.6,22918,nm0425364,"['nm0012078', 'nm0265492', 'nm2129938']"
tt8837018,Manta Ray,2018.0,Drama,6.8,1056,nm2306874,"['nm10045381', 'nm4378422', 'nm10045383']"
tt8840224,Strange Events 2,2019.0,"Drama,Horror,Mystery",3.8,1787,"nm5132191,nm3178797,nm2605838,nm4271149,nm4111283,nm1740684,nm2516936,nm3877467,nm8401218","['nm8889705', 'nm6716751', 'nm8234257']"
tt8840400,In Search of the Last Action Heroes,2019.0,Documentary,7.2,1530,nm6256892,
tt8844062,Tomorrow's Today,2021.0,"Comedy,Drama,Romance",5.5,4022,nm0385725,"['nm6179643', 'nm10703793', 'nm6312471']"
tt8846176,Concrete Cowboy,2020.0,"Drama,Western",6.3,10153,nm2598995,"['nm0252961', 'nm5160895', 'nm0005501']"
tt8847712,The French Dispatch,2021.0,"Comedy,Drama,Romance",7.1,160474,nm0027572,"['nm0001125', 'nm0004778', 'nm0842770']"
tt8850222,Peninsula,2020.0,"Action,Horror,Thriller",5.5,41290,nm3613566,"['nm11037388', 'nm5941822', 'nm5941822']"
tt8851084,Disappear Completely,2022.0,"Horror,Thriller",6.2,1958,nm1514537,"['nm2386306', 'nm9072025', 'nm0555094']"
